globalScore	symbol
21.63441277277697	ENSG00000147883
18.318822532207925	ENSG00000140718
15.455358233534657	ENSG00000130203
15.153940938937472	ENSG00000175164
12.441185287562798	ENSG00000111252
11.98905934566702	ENSG00000164362
11.687642051069833	ENSG00000166949
10.632681519979682	ENSG00000148737
10.02984693078531	ENSG00000134242
9.276303694292347	ENSG00000138821
8.673469105097974	ENSG00000137265
8.372051810500789	ENSG00000183765
8.221343163202196	ENSG00000145012
8.221343163202196	ENSG00000091831
8.070634515903603	ENSG00000198670
7.4677999267092305	ENSG00000212993
7.015673984813452	ENSG00000049656
7.015673984813452	ENSG00000114861
6.8649653375148585	ENSG00000136997
6.8649653375148585	ENSG00000187323
6.41283939561908	ENSG00000134460
6.41283939561908	ENSG00000112715
6.262130748320486	ENSG00000112182
6.262130748320486	ENSG00000182095
6.262130748320486	ENSG00000181915
6.111422101021894	ENSG00000100344
6.111422101021894	ENSG00000196628
6.111422101021894	ENSG00000198734
5.960713453723301	ENSG00000134824
5.960713453723301	ENSG00000204842
5.810004806424708	ENSG00000108175
5.810004806424708	ENSG00000077498
5.810004806424708	ENSG00000176920
5.810004806424708	ENSG00000125347
5.659296159126114	ENSG00000141510
5.659296159126114	ENSG00000153814
5.659296159126114	ENSG00000070366
5.659296159126114	ENSG00000038532
5.508587511827522	ENSG00000107960
5.508587511827522	ENSG00000164093
5.508587511827522	ENSG00000078403
5.357878864528929	ENSG00000182511
5.357878864528929	ENSG00000124762
5.207170217230336	ENSG00000173334
5.207170217230336	ENSG00000164512
5.056461569931743	ENSG00000101665
5.056461569931743	ENSG00000084734
5.056461569931743	ENSG00000171522
4.90575292263315	ENSG00000215817
4.90575292263315	ENSG00000153094
4.90575292263315	ENSG00000173068
4.755044275334557	ENSG00000137507
4.755044275334557	ENSG00000197249
4.755044275334557	ENSG00000073605
4.6043356280359635	ENSG00000134222
4.6043356280359635	ENSG00000143126
4.6043356280359635	ENSG00000149294
4.6043356280359635	ENSG00000134243
4.453626980737371	ENSG00000069667
4.453626980737371	ENSG00000128573
4.453626980737371	ENSG00000168769
4.453626980737371	ENSG00000080644
4.453626980737371	ENSG00000198740
4.453626980737371	ENSG00000107485
4.453626980737371	ENSG00000118971
4.302918333438778	ENSG00000120071
4.302918333438778	ENSG00000107249
4.302918333438778	ENSG00000130164
4.302918333438778	ENSG00000140836
4.302918333438778	ENSG00000134532
4.302918333438778	ENSG00000138378
4.152209686140185	ENSG00000134871
4.152209686140185	ENSG00000162594
4.152209686140185	ENSG00000115380
4.152209686140185	ENSG00000182185
4.152209686140185	ENSG00000140564
4.152209686140185	ENSG00000089225
4.152209686140185	ENSG00000128604
4.152209686140185	ENSG00000184937
4.001501038841592	ENSG00000120262
4.001501038841592	ENSG00000169684
4.001501038841592	ENSG00000166033
4.001501038841592	ENSG00000145996
4.001501038841592	ENSG00000134954
4.001501038841592	ENSG00000151617
4.001501038841592	ENSG00000092969
4.001501038841592	ENSG00000128731
3.850792391542999	ENSG00000125398
3.850792391542999	ENSG00000156395
3.850792391542999	ENSG00000130940
3.850792391542999	ENSG00000008196
3.850792391542999	ENSG00000143921
3.850792391542999	ENSG00000122691
3.850792391542999	ENSG00000115970
3.850792391542999	ENSG00000146374
3.850792391542999	ENSG00000002822
3.850792391542999	ENSG00000258839
3.700083744244406	ENSG00000175445
3.700083744244406	ENSG00000125845
3.700083744244406	ENSG00000196616
3.700083744244406	ENSG00000168685
3.700083744244406	ENSG00000124782
3.700083744244406	ENSG00000147697
3.549375096945813	ENSG00000004864
3.549375096945813	ENSG00000075884
3.549375096945813	ENSG00000123384
3.549375096945813	ENSG00000119866
3.549375096945813	ENSG00000107957
3.549375096945813	ENSG00000104447
3.549375096945813	ENSG00000066468
3.549375096945813	ENSG00000149948
3.549375096945813	ENSG00000164867
3.549375096945813	ENSG00000204103
3.549375096945813	ENSG00000178573
3.549375096945813	ENSG00000185650
3.39866644964722	ENSG00000105397
3.39866644964722	ENSG00000186047
3.39866644964722	ENSG00000173531
3.39866644964722	ENSG00000186075
3.39866644964722	ENSG00000258366
3.39866644964722	ENSG00000135111
3.39866644964722	ENSG00000140968
3.39866644964722	ENSG00000186868
3.39866644964722	ENSG00000112273
3.39866644964722	ENSG00000172260
3.39866644964722	ENSG00000205189
3.39866644964722	ENSG00000020633
3.247957802348627	ENSG00000197728
3.247957802348627	ENSG00000166923
3.247957802348627	ENSG00000138675
3.247957802348627	ENSG00000164175
3.247957802348627	ENSG00000102837
3.247957802348627	ENSG00000137033
3.247957802348627	ENSG00000103460
3.247957802348627	ENSG00000111249
3.247957802348627	ENSG00000101019
3.247957802348627	ENSG00000169519
3.247957802348627	ENSG00000130876
3.247957802348627	ENSG00000119919
3.247957802348627	ENSG00000163599
3.247957802348627	ENSG00000182568
3.247957802348627	ENSG00000149485
3.247957802348627	ENSG00000079308
3.247957802348627	ENSG00000124766
3.247957802348627	ENSG00000162407
3.097249155050034	ENSG00000060718
3.097249155050034	ENSG00000153774
3.097249155050034	ENSG00000172818
3.097249155050034	ENSG00000150347
3.097249155050034	ENSG00000169194
3.097249155050034	ENSG00000112137
3.097249155050034	ENSG00000105329
3.097249155050034	ENSG00000113302
3.097249155050034	ENSG00000120088
3.097249155050034	ENSG00000145777
3.097249155050034	ENSG00000225968
3.097249155050034	ENSG00000164180
3.097249155050034	ENSG00000266265
2.946540507751441	ENSG00000085276
2.946540507751441	ENSG00000115602
2.946540507751441	ENSG00000147677
2.946540507751441	ENSG00000143631
2.946540507751441	ENSG00000115267
2.946540507751441	ENSG00000293584
2.946540507751441	ENSG00000125970
2.946540507751441	ENSG00000134825
2.946540507751441	ENSG00000185294
2.946540507751441	ENSG00000141376
2.946540507751441	ENSG00000104044
2.946540507751441	ENSG00000172575
2.946540507751441	ENSG00000166603
2.946540507751441	ENSG00000135100
2.946540507751441	ENSG00000110243
2.7958318604528483	ENSG00000175354
2.7958318604528483	ENSG00000169174
2.7958318604528483	ENSG00000100154
2.7958318604528483	ENSG00000109917
2.7958318604528483	ENSG00000185811
2.7958318604528483	ENSG00000119408
2.7958318604528483	ENSG00000255974
2.7958318604528483	ENSG00000169554
2.7958318604528483	ENSG00000085274
2.7958318604528483	ENSG00000160712
2.7958318604528483	ENSG00000115896
2.7958318604528483	ENSG00000139531
2.7958318604528483	ENSG00000153093
2.7958318604528483	ENSG00000171791
2.7958318604528483	ENSG00000111275
