globalScore	symbol
8.694864966969169	CDKN2B
8.224087496156518	ABO
7.753310025343866	FTO
6.811755083718562	SH2B3
6.34097761290591	APOE
6.34097761290591	SMAD3
5.870200142093258	TCF7L2
5.870200142093258	PTPN22
5.870200142093258	FUT2
5.870200142093258	ADO
5.870200142093258	SLC39A8
5.399422671280606	VEGFA
5.399422671280606	IRF1
5.399422671280606	PPARG
5.399422671280606	ANKRD55
5.399422671280606	CLEC16A
5.399422671280606	LPP
4.928645200467954	KANSL1
4.928645200467954	NCAM1
4.928645200467954	BACH2
4.928645200467954	GCKR
4.928645200467954	IRF4
4.928645200467954	JAZF1
4.928645200467954	ETS1
4.928645200467954	CCND2
4.928645200467954	GLIS3
4.457867729655302	HMGA2
4.457867729655302	TYK2
4.457867729655302	FOXP1
4.457867729655302	THADA
4.457867729655302	CRHR1
4.457867729655302	SOX9
4.457867729655302	TNRC18
4.457867729655302	BCL2L11
4.457867729655302	ITPR3
4.457867729655302	RAD51B
4.457867729655302	SERPINA1
4.457867729655302	F5
4.457867729655302	ATXN2
4.457867729655302	PNPLA3
4.457867729655302	IFIH1
4.457867729655302	MLN
4.457867729655302	ENSG00000293584
4.457867729655302	GSDMB
4.457867729655302	ZMIZ1
4.457867729655302	PTGER4
4.457867729655302	ADCY5
4.457867729655302	MAPT
4.457867729655302	DCC
4.457867729655302	ESR1
4.457867729655302	MLLT10
4.457867729655302	IL2RA
4.457867729655302	RERE
4.457867729655302	ILRUN
4.457867729655302	IL12B
3.9870902588426493	IRS1
3.9870902588426493	LRP1
3.9870902588426493	STAT4
3.9870902588426493	SUOX
3.9870902588426493	IL23R
3.9870902588426493	MC4R
3.9870902588426493	TET2
3.9870902588426493	SATB1
3.9870902588426493	METTL15
3.9870902588426493	ZFP36L1
3.9870902588426493	DLEU7
3.9870902588426493	ZBTB10
3.9870902588426493	ZC3H11B
3.9870902588426493	ALDH2
3.9870902588426493	BCL11A
3.9870902588426493	MST1
3.9870902588426493	DDX6
3.9870902588426493	FADS2
3.9870902588426493	RORA
3.9870902588426493	BLTP3A
3.9870902588426493	PRAG1
3.9870902588426493	KCNQ1
3.9870902588426493	TNS1
3.9870902588426493	CASZ1
3.9870902588426493	SMG6
3.9870902588426493	CDKAL1
3.9870902588426493	TNFRSF13B
3.9870902588426493	AUTS2
3.9870902588426493	TERT
3.9870902588426493	RPS26
3.9870902588426493	ARID5B
3.5163127880299974	LEF1
3.5163127880299974	COG6
3.5163127880299974	FOXP2
3.5163127880299974	FOXA2
3.5163127880299974	RREB1
3.5163127880299974	TNFSF4
3.5163127880299974	SNRPC
3.5163127880299974	NEK6
3.5163127880299974	FASLG
3.5163127880299974	GATA3
3.5163127880299974	CD226
3.5163127880299974	TRPS1
3.5163127880299974	ZFHX3
3.5163127880299974	MSRA
3.5163127880299974	TMEM18
3.5163127880299974	HHEX
3.5163127880299974	PLCL2
3.5163127880299974	TMEM161B
3.5163127880299974	PKHD1
3.5163127880299974	RASGRP1
3.5163127880299974	TRIB1
3.5163127880299974	OLIG3
3.5163127880299974	ERBB4
3.5163127880299974	ADH1B
3.5163127880299974	TCF4
3.5163127880299974	CENPW
3.5163127880299974	MECOM
3.5163127880299974	OLFM4
3.5163127880299974	BLK
3.5163127880299974	PTPRC
3.5163127880299974	FADS1
3.5163127880299974	TYR
3.5163127880299974	ARHGAP15
3.5163127880299974	TBX5
3.5163127880299974	IRF5
3.5163127880299974	LRRC32
3.5163127880299974	INSR
3.5163127880299974	TNFSF15
3.5163127880299974	RARB
3.5163127880299974	CARMIL1
3.5163127880299974	TNFAIP3
3.5163127880299974	MDFIC
3.5163127880299974	DMRTA2
3.5163127880299974	ADAMTS9
3.5163127880299974	PITX2
3.5163127880299974	IKZF1
3.5163127880299974	IGF2BP2
3.5163127880299974	IL13
3.5163127880299974	RUNX3
3.5163127880299974	TFAP2B
3.5163127880299974	ZNF652
3.5163127880299974	SPPL2C
3.5163127880299974	WT1
3.5163127880299974	CHEK2
3.5163127880299974	PTPN2
3.5163127880299974	BNC2
3.0455353172173454	AHI1
3.0455353172173454	KLB
3.0455353172173454	FANCL
3.0455353172173454	TRAF3
3.0455353172173454	NFATC1
3.0455353172173454	SLC7A10
3.0455353172173454	NKX2-3
3.0455353172173454	IL18R1
3.0455353172173454	LTBR
3.0455353172173454	EFEMP1
3.0455353172173454	GRB14
3.0455353172173454	BCL6
3.0455353172173454	FBRSL1
3.0455353172173454	CUX2
3.0455353172173454	MYL2
3.0455353172173454	MYC
3.0455353172173454	IL10
3.0455353172173454	ZPBP2
3.0455353172173454	SMAD6
3.0455353172173454	ADAM15
3.0455353172173454	FOSL2
3.0455353172173454	TM6SF2
3.0455353172173454	LPA
3.0455353172173454	DPYD
3.0455353172173454	PTPN11
3.0455353172173454	HORMAD2
3.0455353172173454	DMRTA1
3.0455353172173454	ID4
3.0455353172173454	ABCA1
3.0455353172173454	CTLA4
3.0455353172173454	SLC45A1
3.0455353172173454	FER
3.0455353172173454	RSPO3
3.0455353172173454	ABCG8
3.0455353172173454	FLG
3.0455353172173454	NFKB1
3.0455353172173454	TSLP
3.0455353172173454	EYA2
3.0455353172173454	GTF2I
3.0455353172173454	CD247
3.0455353172173454	RPH3A
3.0455353172173454	MAML3
3.0455353172173454	APOBR
3.0455353172173454	ZNRF3
3.0455353172173454	FES
3.0455353172173454	CADM2
3.0455353172173454	PPP1R3B
3.0455353172173454	ZFP36L2
3.0455353172173454	BCAS3
3.0455353172173454	HNF1A
3.0455353172173454	PCCB
3.0455353172173454	RAB5B
3.0455353172173454	EP300
3.0455353172173454	ANAPC4
3.0455353172173454	HNRNPA1L3
3.0455353172173454	IRF8
3.0455353172173454	SEMA3F
3.0455353172173454	ZBTB46
3.0455353172173454	SKIDA1
3.0455353172173454	GIPR
3.0455353172173454	OVOL1
3.0455353172173454	NEGR1
3.0455353172173454	CCDC88B
3.0455353172173454	BLTP1
3.0455353172173454	TMEM258
3.0455353172173454	IL7R
3.0455353172173454	BMP2
3.0455353172173454	ADGRL2
3.0455353172173454	PHTF1
3.0455353172173454	ID2
3.0455353172173454	PMFBP1
3.0455353172173454	FAP
3.0455353172173454	SH3PXD2A
2.5747578464046934	SOX4
2.5747578464046934	GCK
2.5747578464046934	MANBA
2.5747578464046934	IL2
2.5747578464046934	IL1RL1
2.5747578464046934	IL6
2.5747578464046934	BMAL1
