globalScore	symbol
21.63441277277697	CDKN2B
18.318822532207925	FTO
15.455358233534657	APOE
15.153940938937472	ABO
12.441185287562798	SH2B3
11.98905934566702	TERT
11.687642051069833	SMAD3
10.632681519979682	TCF7L2
10.02984693078531	PTPN22
9.276303694292347	SLC39A8
8.673469105097974	IRF4
8.372051810500789	CHEK2
8.221343163202196	LPP
8.221343163202196	ESR1
8.070634515903603	LPA
7.4677999267092305	POU5F1B
7.015673984813452	CLPTM1L
7.015673984813452	FOXP1
6.8649653375148585	MYC
6.8649653375148585	DCC
6.41283939561908	IL2RA
6.41283939561908	VEGFA
6.262130748320486	BACH2
6.262130748320486	TNRC18
6.262130748320486	ADO
6.111422101021894	PNPLA3
6.111422101021894	TCF4
6.111422101021894	F5
5.960713453723301	FADS2
5.960713453723301	ATXN2
5.810004806424708	ZMIZ1
5.810004806424708	TYR
5.810004806424708	FUT2
5.810004806424708	IRF1
5.659296159126114	TP53
5.659296159126114	JAZF1
5.659296159126114	SMG6
5.659296159126114	CLEC16A
5.508587511827522	STN1
5.508587511827522	PITX2
5.508587511827522	MLLT10
5.357878864528929	FES
5.357878864528929	CDKN1A
5.207170217230336	TRIB1
5.207170217230336	ANKRD55
5.056461569931743	SMAD7
5.056461569931743	GCKR
5.056461569931743	PTGER4
4.90575292263315	ZC3H11B
4.90575292263315	BCL2L11
4.90575292263315	BNC2
4.755044275334557	LRRC32
4.755044275334557	SERPINA1
4.755044275334557	GSDMB
4.6043356280359635	PSRC1
4.6043356280359635	CELSR2
4.6043356280359635	NCAM1
4.6043356280359635	SORT1
4.453626980737371	RORA
4.453626980737371	FOXP2
4.453626980737371	TET2
4.453626980737371	CHRNA3
4.453626980737371	ZNF652
4.453626980737371	GATA3
4.453626980737371	CCND2
4.302918333438778	KANSL1
4.302918333438778	GLIS3
4.302918333438778	LDLR
4.302918333438778	ZFHX3
4.302918333438778	SOX5
4.302918333438778	STAT4
4.152209686140185	COL4A2
4.152209686140185	IL23R
4.152209686140185	EFEMP1
4.152209686140185	RAD51B
4.152209686140185	FURIN
4.152209686140185	TBX5
4.152209686140185	IRF5
4.152209686140185	WT1
4.001501038841592	CCDC170
4.001501038841592	CHRNA5
4.001501038841592	HTRA1
4.001501038841592	CDKAL1
4.001501038841592	ETS1
4.001501038841592	EDNRA
4.001501038841592	TGFB2
4.001501038841592	HERC2
3.850792391542999	SOX9
3.850792391542999	SORCS3
3.850792391542999	CASZ1
3.850792391542999	TFAP2B
3.850792391542999	ABCG8
3.850792391542999	TWIST1
3.850792391542999	THADA
3.850792391542999	RSPO3
3.850792391542999	MAD1L1
3.850792391542999	MC1R
3.700083744244406	LPL
3.700083744244406	BMP2
3.700083744244406	ADH1B
3.700083744244406	IL7R
3.700083744244406	RREB1
3.700083744244406	GSDMC
3.549375096945813	SLC25A13
3.549375096945813	ARHGAP15
3.549375096945813	LRP1
3.549375096945813	BCL11A
3.549375096945813	SH3PXD2A
